timestamp,hands_done,training_samples,train_loss,val_loss,hero_bb100,hands_per_sec,elapsed_sec
2026-07-11 11:37:02,1786,3090,91.590606,85.895433,287.16,44.1,40.5
2026-07-11 11:37:48,3588,6011,66.986543,64.619857,205.44,41.5,86.6
2026-07-11 11:38:32,5411,8593,54.092762,38.119501,106.84,41.6,130.2
2026-07-11 11:39:12,7230,10921,33.343566,37.330455,94.77,42.6,169.7
2026-07-11 11:39:52,9008,13183,41.628587,43.044677,116.10,43.0,209.7
2026-07-11 11:40:37,10794,16183,78.810444,74.019774,134.53,42.3,254.9
2026-07-11 11:41:25,12578,19374,72.028093,74.989687,108.35,41.5,303.0
2026-07-11 11:42:10,14364,22299,52.318723,51.894286,125.30,41.3,347.9
2026-07-11 11:42:58,16160,25549,76.805424,86.231679,90.96,40.8,396.3
2026-07-11 11:43:44,17965,28574,64.745009,58.549985,111.95,40.6,442.4
2026-07-11 11:44:28,19764,31774,86.358992,96.565930,117.27,40.7,485.6
2026-07-11 11:45:12,21547,34757,72.859114,61.429787,126.36,40.7,529.7
2026-07-11 11:45:56,23331,37343,59.879259,55.635313,120.28,40.6,574.2
2026-07-11 11:46:40,25112,39967,41.608741,45.009816,114.44,40.6,618.5
2026-07-11 11:47:25,26860,42095,24.881994,17.753628,112.24,40.5,662.6
2026-07-11 11:48:09,28643,45185,73.537148,67.857769,125.71,40.5,707.6
2026-07-11 11:48:55,30459,48274,61.724882,51.927037,129.00,40.4,753.1
2026-07-11 11:49:38,32252,51514,81.958424,78.826705,134.43,40.5,796.6
2026-07-11 11:50:25,34043,54707,86.202974,78.209025,133.52,40.4,843.0
2026-07-11 11:51:12,35828,57832,60.892579,76.204525,138.05,40.3,890.1
2026-07-11 11:51:59,37611,60884,70.227913,66.691624,140.56,40.2,936.7
2026-07-11 11:53:23,39399,63733,51.232444,49.484905,135.58,934.4,42.2
2026-07-11 11:54:06,41177,66118,42.673778,64.853620,132.15,479.7,85.8
2026-07-11 11:54:50,42983,68614,40.369943,48.577754,127.85,333.1,129.0
2026-07-11 11:55:33,44804,70940,30.922275,30.227880,123.98,260.4,172.1
2026-07-11 11:56:17,46605,74031,54.167426,57.612303,124.97,215.2,216.5
2026-07-11 11:56:59,48390,76944,46.332047,39.017328,117.06,187.2,258.5
2026-07-11 11:57:43,50187,79922,46.300920,41.735702,117.94,165.7,302.9
2026-07-11 11:58:27,51973,82499,47.889840,41.062773,117.43,150.2,346.1
2026-07-11 11:59:08,53753,85153,60.391010,62.977549,119.59,138.8,387.3
2026-07-11 11:59:45,55536,88182,81.931394,81.445922,121.62,130.8,424.7
2026-07-11 12:00:31,57321,91207,59.308579,61.678627,125.89,121.8,470.7
2026-07-11 12:01:18,59103,94208,71.187724,58.192644,128.47,114.3,517.0
2026-07-11 12:02:04,60903,97216,70.856740,70.102325,122.80,108.1,563.3
2026-07-11 12:02:50,62694,100220,58.229031,66.175090,122.44,102.8,609.6
2026-07-11 12:03:38,64502,103268,62.529462,71.943904,125.91,98.2,657.0
2026-07-11 12:04:21,66296,106360,78.568332,78.335390,129.41,94.6,700.6
2026-07-11 12:05:04,68083,109390,73.784132,69.649332,130.71,91.6,743.0
2026-07-11 12:05:50,69870,112427,63.010568,64.492832,128.71,88.5,789.6
2026-07-11 12:06:39,71633,115481,75.544733,69.650996,130.40,85.4,838.6
2026-07-11 12:07:26,73421,118355,63.524148,55.167922,130.52,82.9,885.2
2026-07-11 12:08:11,75225,121051,60.616279,57.276066,132.98,80.8,930.9
2026-07-11 12:08:49,77026,123896,72.397809,81.077953,131.55,79.6,968.1
2026-07-11 12:09:35,78822,126600,55.692863,51.244250,126.55,77.7,1014.1
2026-07-11 12:10:19,80614,129069,44.325964,49.927205,129.12,76.1,1058.6
2026-07-11 12:11:04,82411,131603,42.982794,48.816840,129.07,74.7,1103.9
2026-07-11 12:11:50,84207,134182,37.708781,36.036233,127.87,73.3,1149.3
2026-07-11 12:12:33,85999,136780,47.134351,50.105866,128.01,72.1,1192.2
2026-07-11 12:13:18,87805,139224,50.634020,53.827042,126.22,71.0,1237.4
2026-07-11 12:14:07,89597,142439,79.957921,78.646194,122.29,69.6,1286.5
2026-07-11 12:14:45,91380,144502,15.042301,20.390524,122.55,69.0,1324.3
2026-07-11 12:15:32,93180,147548,50.793029,50.950895,122.56,68.0,1371.2
2026-07-11 12:16:20,94969,150844,92.545017,81.695768,126.65,66.9,1419.7
2026-07-11 12:17:03,96786,152912,15.115496,12.046564,124.00,66.2,1462.9
2026-07-11 12:17:48,98563,155716,42.191856,37.087347,126.13,65.4,1506.9
2026-07-11 12:18:32,100362,158612,59.515356,66.771219,129.02,64.7,1551.1
2026-07-11 12:19:21,102147,161895,80.770241,82.918494,126.76,63.8,1600.2
2026-07-11 12:20:10,103930,165176,87.040822,79.632146,122.65,63.0,1649.0
2026-07-11 12:20:44,105705,168011,59.851836,53.504237,127.26,62.8,1683.9
2026-07-11 12:21:31,107498,171275,82.861007,89.075746,126.77,62.1,1730.8
2026-07-11 12:22:21,109300,174547,106.203969,96.008638,126.98,61.4,1779.9
2026-07-11 12:23:04,111116,177543,52.425822,48.782213,126.48,60.9,1823.9
2026-07-11 12:23:48,112905,180673,84.816328,75.788621,129.04,60.4,1867.9
