timestamp,hands_done,training_samples,train_loss,val_loss,hero_bb100,hands_per_sec,elapsed_sec
2026-07-11 18:30:14,1698,1713,0.291069,0.323163,-40.33,43.87,38.71
2026-07-11 18:30:57,3373,3402,0.223961,0.417315,-29.30,41.47,81.33
2026-07-11 18:31:38,5059,5110,0.256066,0.197791,-22.57,41.24,122.67
2026-07-11 18:32:17,6771,6839,0.176501,0.095533,-18.27,42.06,161.00
2026-07-11 18:32:58,8471,8555,0.139567,0.405414,-23.12,41.76,202.85
2026-07-11 18:33:37,10191,10288,0.154028,0.651272,-25.00,42.13,241.91
2026-07-11 18:34:19,11879,12009,0.428406,0.254637,-28.08,41.87,283.72
2026-07-11 18:35:05,13582,13804,0.620934,0.914545,-28.50,41.23,329.43
2026-07-11 18:35:52,15330,15706,0.735399,0.521073,-27.20,40.67,376.94
2026-07-11 18:36:42,17084,17688,0.917116,1.791959,-26.99,40.07,426.37
2026-07-11 18:37:33,18893,19812,1.512910,0.829916,-30.03,39.56,477.54
2026-07-11 18:38:28,20690,22014,1.608837,1.970902,-26.01,38.86,532.44
2026-07-11 18:39:26,22537,24327,1.615957,1.161490,-21.47,38.14,590.94
2026-07-11 18:40:25,24409,26687,1.892467,1.492608,-20.09,37.60,649.20
2026-07-11 18:41:28,26336,29201,2.245134,2.195425,-15.78,36.94,712.84
2026-07-11 18:42:32,28282,31472,1.421736,1.895308,-14.02,36.43,776.44
2026-07-11 18:43:42,30248,34317,3.830324,3.727765,-4.52,35.75,846.12
2026-07-11 18:44:52,32248,37125,3.487673,3.992552,13.13,35.17,916.80
2026-07-11 18:46:04,34248,39871,3.566035,5.123517,25.43,34.65,988.45
2026-07-11 18:47:16,36248,42410,3.281541,3.509492,33.90,34.19,1060.28
2026-07-11 18:48:25,38248,44852,1.803657,2.519762,41.69,33.87,1129.22
2026-07-11 18:49:32,40248,47431,2.443037,2.211778,46.12,33.63,1196.70
2026-07-11 18:50:47,42248,50680,5.571002,5.619981,49.97,33.22,1271.89
2026-07-11 18:51:59,44248,53172,2.412346,2.355418,57.37,32.94,1343.30
2026-07-11 18:53:10,46248,55749,2.073924,3.290914,66.34,32.69,1414.73
2026-07-11 18:54:28,48248,59844,4.706484,4.989878,71.42,32.33,1492.44
2026-07-11 18:55:32,50000,62195,3.516531,4.424182,82.63,32.12,1556.64
