timestamp,hands_done,training_samples,train_loss,val_loss,hero_bb100,hands_per_sec,elapsed_sec
2026-07-12 00:06:19,1675,1790,0.826411,0.699031,-1.20,43.52,38.49
2026-07-12 00:06:57,3335,3587,0.597811,0.453130,18.95,43.27,77.07
2026-07-12 00:07:39,5068,5493,0.489626,0.695841,21.99,42.75,118.56
2026-07-12 00:08:17,6730,7294,0.611937,0.456344,21.30,42.96,156.65
2026-07-12 00:08:44,8411,9164,0.526279,0.327270,15.80,45.65,184.24
2026-07-12 00:09:21,10107,11041,0.492060,0.266415,19.93,45.76,220.88
2026-07-12 00:10:00,11788,12901,0.467436,0.969887,23.76,45.43,259.45
2026-07-12 00:10:42,13481,14804,0.462535,0.485315,22.23,44.62,302.13
2026-07-12 00:11:26,15155,16748,0.734816,1.357817,24.61,43.84,345.68
2026-07-12 00:12:11,16849,18718,0.509003,1.223587,21.00,43.06,391.25
2026-07-12 00:12:59,18567,20798,1.196778,1.136741,22.36,42.32,438.69
2026-07-12 00:13:49,20251,22929,1.240484,1.697661,24.67,41.46,488.49
2026-07-12 00:14:38,21919,25060,1.842785,1.596446,24.38,40.71,538.41
2026-07-12 00:15:31,23606,27331,1.588910,2.216122,19.59,39.93,591.14
2026-07-12 00:16:18,25277,29590,1.622933,1.830984,21.94,39.62,637.97
2026-07-12 00:17:09,26951,31433,0.623792,0.635588,16.45,39.15,688.49
2026-07-12 00:18:02,28643,33722,1.303466,1.191944,17.30,38.60,742.08
2026-07-12 00:18:57,30330,36347,2.211862,1.789915,14.74,38.05,797.01
2026-07-12 00:19:55,31997,38719,1.750339,1.491820,15.17,37.43,854.91
2026-07-12 00:20:48,33672,40981,1.015325,1.719327,20.62,37.07,908.25
2026-07-12 00:21:40,35328,43553,2.699645,1.657550,26.56,36.80,960.10
2026-07-12 00:22:35,37004,45649,1.676421,0.995664,27.13,36.45,1015.23
2026-07-12 00:23:30,38653,48232,1.566452,1.618668,18.85,36.11,1070.32
2026-07-12 00:24:27,40352,50653,1.332250,1.489420,14.94,35.80,1127.29
2026-07-12 00:25:26,42050,53093,1.142615,3.018348,18.51,35.46,1185.77
2026-07-12 00:26:15,43733,55596,1.277890,1.408526,18.81,35.40,1235.24
2026-07-12 00:27:13,45406,58083,1.087376,1.126408,19.45,35.13,1292.58
2026-07-12 00:28:10,47087,60344,1.021499,1.450068,16.99,34.89,1349.50
2026-07-12 00:29:07,48767,62980,2.550324,1.764599,14.45,34.66,1406.84
2026-07-12 00:29:57,50405,65377,1.232805,1.280380,14.07,34.59,1457.04
2026-07-12 00:30:53,52034,67651,1.465643,2.179499,14.30,34.38,1513.40
2026-07-12 00:31:47,53701,69937,0.977183,1.398217,14.60,34.27,1566.78
2026-07-12 00:32:46,55346,72266,1.083642,1.290081,17.30,34.05,1625.47
2026-07-12 00:33:46,57011,74643,1.829008,1.556946,17.19,33.82,1685.51
2026-07-12 00:34:44,58698,76967,0.917320,1.310916,20.71,33.65,1744.24
2026-07-12 00:35:43,60386,79392,1.188825,0.871714,24.34,33.49,1803.02
2026-07-12 00:36:40,62065,81827,1.225016,2.061412,20.99,33.36,1860.43
2026-07-12 00:37:38,63765,84351,1.783747,1.199586,22.37,33.24,1918.21
2026-07-12 00:38:37,65445,86780,1.415475,1.875903,23.83,33.11,1976.59
2026-07-12 00:43:16,66723,2425,1.613321,2.002313,179.90,53.87,31.99
2026-07-12 00:53:27,68427,2560,1.981189,1.319438,90.77,53.11,32.09
2026-07-12 00:53:56,70097,4858,0.986776,1.340578,94.71,55.46,60.84
2026-07-12 00:54:24,71790,7442,1.890365,2.048068,112.88,57.10,88.74
2026-07-12 00:54:52,73480,9785,1.557929,3.020469,140.00,57.59,117.32
2026-07-12 00:55:21,75169,12279,2.406258,2.099706,178.66,57.95,145.73
2026-07-12 00:55:49,76870,14740,1.636500,1.184373,165.24,58.45,173.61
2026-07-12 00:56:17,78565,17125,1.955502,1.048910,165.31,58.77,201.49
2026-07-12 00:56:45,80281,19507,1.317186,1.266940,157.54,58.99,229.83
2026-07-12 00:57:12,81980,21811,1.266217,1.682951,149.81,59.32,257.20
2026-07-12 00:57:39,83659,24083,1.851478,0.992144,164.94,59.56,284.36
2026-07-12 00:58:07,85358,26599,1.264294,1.759108,147.99,59.70,312.15
2026-07-12 00:58:35,87056,28946,1.526634,1.256004,146.37,59.83,339.82
2026-07-12 00:59:01,88768,31353,1.582296,2.084817,145.56,60.22,366.06
2026-07-12 00:59:30,90484,33760,1.101677,2.821602,140.71,60.21,394.63
2026-07-12 00:59:58,92196,36377,2.981738,1.326654,143.00,60.30,422.45
2026-07-12 01:00:25,93896,38642,1.058162,2.133288,138.32,60.37,450.12
2026-07-12 01:00:53,95584,40818,1.556080,1.092649,131.55,60.38,477.95
2026-07-12 01:01:23,97289,43298,2.145776,2.085002,125.59,60.12,508.41
2026-07-12 01:01:53,99013,45652,1.810617,0.869660,127.65,60.08,537.46
2026-07-12 01:02:22,100697,48062,1.555207,1.767815,120.96,59.98,566.45
2026-07-12 01:02:50,102392,50439,1.392529,1.023248,120.82,59.95,594.96
2026-07-12 01:03:18,104074,52792,1.466130,1.310800,121.97,59.94,623.12
2026-07-12 01:03:47,105792,55222,1.253227,2.188611,118.18,59.96,651.64
2026-07-12 01:04:16,107494,57702,2.161394,1.201805,114.60,59.90,680.65
2026-07-12 01:04:45,109197,59984,0.966875,0.567854,117.53,59.87,709.43
2026-07-12 01:05:13,110876,62368,1.834144,1.337674,117.71,59.81,738.23
2026-07-12 01:05:42,112568,64861,2.003982,1.872026,117.94,59.75,767.30
2026-07-12 01:06:11,114274,67324,1.873508,2.912642,116.88,59.72,796.19
2026-07-12 01:06:39,115983,69784,1.752178,0.698731,118.40,59.76,824.26
2026-07-12 01:07:07,117684,72248,1.270104,2.086347,115.93,59.79,852.36
2026-07-12 01:07:36,119381,74913,2.228369,2.230393,114.64,59.78,880.84
