is_preflop,num_opponents,equity,pot_odds,stack_pot_ratio,bet_raise_available,check_call_available,action
1.0,4.0,0.292,0.375,26.066666666666666,1.0,1.0,4.0
1.0,2.0,0.4633333333333334,0.18518518518518517,17.772727272727273,1.0,1.0,2.0
1.0,2.0,0.43333333333333335,0.0,14.481481481481481,1.0,1.0,1.0
0.0,2.0,0.29166666666666663,0.0,14.481481481481481,1.0,1.0,1.0
0.0,2.0,0.30166666666666664,0.0,14.481481481481481,1.0,1.0,1.0
0.0,2.0,0.31666666666666665,0.2,10.61111111111111,1.0,1.0,4.0
1.0,4.0,0.312,0.375,26.066666666666666,1.0,1.0,4.0
1.0,1.0,0.5974999999999999,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.5425,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.455,0.2222222222222222,13.678571428571429,1.0,1.0,4.0
0.0,1.0,0.55,0.0,10.63888888888889,1.0,1.0,1.0
0.0,1.0,0.4525,0.0,10.63888888888889,1.0,1.0,1.0
0.0,1.0,0.38,0.3,5.650793650793651,1.0,1.0,4.0
1.0,5.0,0.5108333333333334,0.375,26.066666666666666,1.0,1.0,4.0
1.0,2.0,0.45166666666666666,0.18518518518518517,17.772727272727273,1.0,1.0,2.0
1.0,2.0,0.29333333333333333,0.3333333333333333,6.7407407407407405,1.0,1.0,4.0
1.0,2.0,0.7483333333333333,0.3333333333333333,3.1203703703703702,1.0,1.0,4.0
1.0,1.0,0.4325,0.0,2.4962962962962965,1.0,1.0,1.0
0.0,1.0,0.1925,0.0,2.4962962962962965,1.0,1.0,1.0
0.0,1.0,0.83,0.18592964824120603,1.6977594878829447,1.0,1.0,4.0
1.0,3.0,0.29124999999999995,0.3684210526315789,27.194444444444443,1.0,1.0,4.0
1.0,3.0,0.25625,0.2191780821917808,17.17543859649123,1.0,1.0,2.0
0.0,1.0,0.5375,0.0,17.17543859649123,1.0,1.0,1.0
0.0,1.0,0.7024999999999999,0.20618556701030927,12.454545454545455,1.0,1.0,4.0
0.0,1.0,0.5475,0.0,9.88659793814433,1.0,1.0,1.0
0.0,1.0,0.355,0.0,9.88659793814433,1.0,1.0,1.0
0.0,1.0,0.67,0.0,9.88659793814433,1.0,1.0,1.0
0.0,1.0,0.5075,0.0,9.88659793814433,1.0,1.0,1.0
0.0,1.0,0.5724999999999999,0.0,9.88659793814433,1.0,1.0,1.0
1.0,4.0,0.234,0.36607142857142855,27.591549295774648,1.0,1.0,4.0
1.0,3.0,0.25125,0.375,26.066666666666666,1.0,1.0,4.0
1.0,1.0,0.5974999999999999,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.4925,0.0,19.55,1.0,1.0,1.0
0.0,1.0,0.625,0.25,12.7,1.0,1.0,4.0
0.0,1.0,0.5025,0.0,9.525,1.0,1.0,1.0
0.0,1.0,0.6074999999999999,0.0,9.525,1.0,1.0,1.0
0.0,1.0,0.98,0.2916666666666667,5.1911764705882355,1.0,1.0,4.0
0.0,1.0,0.66,0.0,3.6770833333333335,1.0,1.0,1.0
0.0,1.0,0.985,0.0,3.6770833333333335,1.0,1.0,1.0
0.0,1.0,0.9125,0.3073836276083467,1.6013904982618772,1.0,1.0,4.0
0.0,1.0,0.975,0.34463840399002493,0.0,1.0,1.0,4.0
1.0,1.0,0.5725,0.3333333333333333,24.25,1.0,1.0,4.0
1.0,1.0,0.6375,0.0,16.166666666666668,1.0,1.0,1.0
0.0,1.0,0.8674999999999999,0.0,16.166666666666668,1.0,1.0,1.0
0.0,1.0,0.87,0.0,16.166666666666668,1.0,1.0,1.0
0.0,1.0,0.8025,0.3,8.80952380952381,1.0,1.0,4.0
0.0,1.0,0.8875,0.0,6.166666666666667,1.0,1.0,1.0
0.0,1.0,0.89,0.3,3.0952380952380953,1.0,1.0,4.0
1.0,5.0,0.405,0.375,26.066666666666666,1.0,1.0,4.0
1.0,5.0,0.17833333333333332,0.4,8.222222222222221,1.0,1.0,4.0
1.0,1.0,0.7675,0.0,5.606060606060606,1.0,1.0,1.0
0.0,1.0,0.9225,0.0,5.606060606060606,1.0,1.0,1.0
0.0,1.0,0.3175,0.0,5.606060606060606,1.0,1.0,1.0
0.0,1.0,1.0,0.0,5.606060606060606,1.0,1.0,1.0
0.0,1.0,0.2525,0.16653193209377526,4.286129970902037,1.0,1.0,4.0
0.0,1.0,1.0,0.0,3.572352465642684,1.0,1.0,1.0
0.0,1.0,1.0,0.0,3.572352465642684,1.0,1.0,1.0
0.0,1.0,0.1275,0.4,0.5241174885475613,1.0,1.0,4.0
0.0,1.0,1.0,0.19305210918114143,0.0,1.0,1.0,4.0
1.0,1.0,0.42250000000000004,0.0,49.5,1.0,1.0,1.0
1.0,1.0,0.56,0.35714285714285715,21.444444444444443,1.0,1.0,4.0
1.0,1.0,0.42750000000000005,0.0,13.785714285714286,1.0,1.0,1.0
0.0,1.0,0.7675,0.0,13.785714285714286,1.0,1.0,1.0
