Hand,Equity
AA,0.8515
KK,0.8256
QQ,0.8038
JJ,0.7727
TT,0.7491
99,0.7228
88,0.6877
77,0.6676
AKs,0.6614
AQs,0.6600
AKo,0.6579
AJs,0.6565
ATs,0.6448
AQo,0.6433
AJo,0.6412
66,0.6364
KQs,0.6350
ATo,0.6300
A9s,0.6296
A8s,0.6200
KTs,0.6168
KJs,0.6119
KQo,0.6112
A7s,0.6088
A8o,0.6064
QJs,0.6038
K9s,0.6032
KJo,0.6031
A9o,0.6013
55,0.5989
A5s,0.5971
QTs,0.5968
A6s,0.5948
KTo,0.5947
A7o,0.5932
K8s,0.5847
A4s,0.5842
A3s,0.5820
QJo,0.5803
A2s,0.5785
A6o,0.5784
K7s,0.5768
A5o,0.5756
QTo,0.5732
K9o,0.5711
K6s,0.5699
Q9s,0.5678
44,0.5665
A4o,0.5653
JTs,0.5644
A3o,0.5614
K8o,0.5592
K7o,0.5566
Q8s,0.5553
K5s,0.5542
Q9o,0.5539
J9s,0.5528
JTo,0.5528
A2o,0.5505
K4s,0.5454
K6o,0.5450
Q8o,0.5423
Q7s,0.5412
33,0.5410
K5o,0.5395
T9s,0.5391
K3s,0.5379
J8s,0.5351
J9o,0.5310
K2s,0.5277
Q6s,0.5252
Q5s,0.5232
T9o,0.5227
J7s,0.5213
T8s,0.5208
K4o,0.5196
J8o,0.5181
K3o,0.5136
Q4s,0.5128
Q7o,0.5099
Q6o,0.5091
K2o,0.5075
98s,0.5066
22,0.5066
J6s,0.5065
Q2s,0.5050
T7s,0.5046
Q3s,0.5039
T8o,0.5016
Q5o,0.5014
J5s,0.5001
T6s,0.4982
J7o,0.4982
97s,0.4932
J4s,0.4911
Q4o,0.4889
T7o,0.4874
J3s,0.4866
98o,0.4854
Q3o,0.4814
J6o,0.4812
Q2o,0.4806
87s,0.4790
J5o,0.4768
J2s,0.4754
86s,0.4752
96s,0.4743
T4s,0.4670
T5s,0.4670
97o,0.4656
T6o,0.4647
95s,0.4636
J4o,0.4597
76s,0.4585
J3o,0.4563
T3s,0.4541
87o,0.4509
85s,0.4489
96o,0.4484
J2o,0.4459
T2s,0.4454
T4o,0.4446
T5o,0.4417
94s,0.4415
86o,0.4353
65s,0.4351
75s,0.4309
84s,0.4276
92s,0.4267
T3o,0.4258
93s,0.4240
95o,0.4240
74s,0.4202
54s,0.4199
64s,0.4191
76o,0.4174
94o,0.4168
85o,0.4159
T2o,0.4152
83s,0.4086
63s,0.4025
93o,0.4020
53s,0.4018
82s,0.4012
92o,0.3992
73s,0.3966
75o,0.3957
65o,0.3956
84o,0.3904
43s,0.3875
72s,0.3834
64o,0.3831
54o,0.3825
52s,0.3821
74o,0.3806
83o,0.3768
62s,0.3763
82o,0.3649
73o,0.3639
63o,0.3619
53o,0.3604
42s,0.3567
32s,0.3503
43o,0.3472
72o,0.3466
62o,0.3453
52o,0.3419
42o,0.3308
32o,0.3268
