timestamp,hands_done,training_samples,train_loss,val_loss,hero_bb100,hands_per_sec,elapsed_sec
2026-07-12 15:39:47,1726,1773,0.559238,0.447905,-23.36,91.61,18.84
2026-07-12 15:40:05,3424,3513,0.077896,0.107537,-15.13,94.80,36.12
2026-07-12 15:40:22,5139,5270,0.032479,0.018058,-12.63,95.67,53.72
2026-07-12 15:40:38,6845,7015,0.103028,0.103810,-12.33,98.21,69.70
2026-07-12 15:40:55,8533,8742,0.191848,0.494230,-10.40,98.83,86.34
2026-07-12 15:41:11,10239,10489,0.213155,0.325682,-11.15,99.43,102.98
2026-07-12 15:41:29,11911,12208,0.348675,0.667734,-9.41,98.91,120.42
2026-07-12 15:41:46,13622,14028,0.218007,0.256367,-8.91,98.73,137.97
2026-07-12 15:42:05,15329,15960,0.491350,0.172382,-7.05,98.16,156.16
2026-07-12 15:42:24,17055,17912,0.476425,0.531025,-4.88,97.14,175.57
2026-07-12 15:42:45,18791,20028,0.354010,0.374972,-4.18,95.78,196.19
2026-07-12 15:43:06,20481,22113,1.137789,1.129756,-2.62,94.20,217.42
2026-07-12 15:43:28,22184,24355,0.504202,0.530516,-2.71,92.80,239.05
2026-07-12 15:43:50,23895,26726,0.998629,1.332104,-2.71,91.28,261.77
2026-07-12 15:44:14,25596,29064,0.810403,0.908989,-2.51,89.67,285.44
2026-07-12 15:44:39,27298,31515,0.694075,0.731371,-2.13,87.96,310.34
2026-07-12 15:45:04,29009,34042,0.961167,1.242004,-1.29,86.39,335.81
2026-07-12 15:45:30,30693,36533,0.785669,1.036182,-0.55,84.83,361.81
2026-07-12 15:45:57,32398,39113,0.888175,0.993655,0.51,83.38,388.55
2026-07-12 15:46:23,34106,41812,1.073803,0.964711,1.39,82.25,414.68
2026-07-12 15:46:51,35795,44431,1.007978,0.835607,1.84,80.92,442.36
2026-07-12 15:47:18,37471,46981,1.071389,1.849256,2.98,79.80,469.54
2026-07-12 15:47:44,39162,49506,0.757321,0.994245,2.92,79.04,495.50
2026-07-12 15:48:10,40856,52129,0.669988,0.613763,2.87,78.41,521.07
2026-07-12 15:48:36,42563,54710,0.804179,0.777148,2.99,77.80,547.06
2026-07-12 15:49:03,44283,57353,0.919143,1.084066,2.83,77.12,574.19
2026-07-12 15:49:29,45970,59889,0.679326,0.669833,2.56,76.52,600.72
2026-07-12 15:49:57,47665,62485,0.814939,0.671203,2.84,75.88,628.15
2026-07-12 15:50:23,49354,65118,0.889660,0.915960,3.56,75.36,654.90
2026-07-12 15:50:51,51068,67771,0.862588,0.828704,3.14,74.88,682.01
2026-07-12 15:51:17,52794,70435,0.973285,1.199013,2.62,74.52,708.41
2026-07-12 15:51:44,54504,73073,0.855747,0.963140,2.75,74.12,735.31
2026-07-12 15:52:10,56228,75765,0.767546,0.903573,2.83,73.84,761.46
2026-07-12 15:52:36,57936,78518,0.737085,1.002488,2.76,73.55,787.69
2026-07-12 15:53:02,59641,81174,0.948579,0.655587,3.20,73.30,813.70
2026-07-12 15:53:28,61347,83810,0.789523,0.775259,3.46,73.06,839.73
2026-07-12 15:53:54,63054,86434,0.719866,0.826833,3.53,72.87,865.27
2026-07-12 15:54:19,64772,89050,0.804578,0.730554,3.68,72.71,890.81
2026-07-12 15:54:46,66488,91658,1.346473,1.629200,3.92,72.45,917.72
2026-07-12 15:55:14,68168,94210,0.813326,0.762638,3.64,72.13,945.07
2026-07-12 15:55:40,69850,96771,0.910580,0.970120,3.91,71.91,971.29
2026-07-12 15:56:07,71575,99381,0.867535,0.617627,4.23,71.68,998.51
2026-07-12 15:56:34,73259,102001,0.701025,0.676799,4.28,71.46,1025.21
2026-07-12 15:57:00,74962,104614,1.028150,0.929997,4.70,71.29,1051.49
2026-07-12 15:57:26,76648,107166,0.887561,0.672844,5.02,71.13,1077.65
2026-07-12 15:57:52,78341,109799,0.804280,0.905568,5.20,70.97,1103.91
2026-07-12 15:58:19,80035,112386,0.773392,0.993360,5.20,70.80,1130.46
2026-07-12 15:58:45,81730,114966,0.726482,0.889050,5.17,70.65,1156.80
2026-07-12 15:59:13,83467,117639,0.729939,0.935791,5.39,70.47,1184.42
2026-07-12 15:59:40,85166,120148,0.558600,0.682980,5.24,70.30,1211.41
2026-07-12 16:00:07,86900,122771,0.856859,0.860863,5.32,70.17,1238.42
2026-07-12 16:00:34,88598,125349,0.702273,0.679989,5.13,69.99,1265.87
2026-07-12 16:01:01,90286,127953,0.741561,0.807178,5.10,69.87,1292.18
2026-07-12 16:01:27,91978,130576,0.862371,1.053198,4.92,69.75,1318.74
2026-07-12 16:01:53,93686,133174,0.712299,0.838864,4.91,69.66,1344.96
2026-07-12 16:02:20,95405,135791,0.938361,1.100007,5.19,69.58,1371.15
2026-07-12 16:02:46,97107,138327,0.750853,0.764013,5.33,69.48,1397.53
2026-07-12 16:03:13,98794,140892,0.748843,0.952901,5.33,69.37,1424.09
2026-07-12 16:03:29,99819,142413,0.752440,0.784422,5.29,69.32,1440.02
2026-07-12 16:03:31,99969,142641,0.614988,0.577740,5.32,69.30,1442.48
2026-07-12 16:03:31,99990,142666,0.228090,0.162650,5.30,69.29,1442.97
2026-07-12 16:03:32,99997,142675,1.440267,0.202262,5.30,69.29,1443.25
2026-07-12 16:03:32,100005,142689,1.919553,2.378810,5.31,69.28,1443.58
