timestamp,hands_done,training_samples,train_loss,val_loss,train_loss_q,train_loss_bluff,train_loss_str,train_loss_eq,hero_bb100,hands_per_sec,elapsed_sec
2026-07-14 10:47:25,1738,1738,12.410437,8.681438,11.511555,0.100094,0.214214,0.219113,-6.19,57.02,30.48
2026-07-14 10:47:54,3494,3494,12.591517,10.889200,11.860996,0.124030,0.228842,0.261946,-42.70,58.81,59.41
2026-07-14 10:48:22,5271,5271,10.303167,11.783602,9.657594,0.094501,0.282118,0.223680,-21.97,60.57,87.02
2026-07-14 10:48:49,7039,7039,11.444769,9.307489,10.768409,0.090299,0.229946,0.334188,-10.12,61.58,114.31
2026-07-14 10:49:18,8808,8808,11.793003,11.442922,11.124024,0.074061,0.255106,0.204820,-23.23,61.74,142.66
2026-07-14 10:49:50,10608,10608,10.958696,9.364877,10.269806,0.132541,0.148854,0.159565,-7.48,60.47,175.43
2026-07-14 10:50:20,12404,12404,11.741600,12.109298,11.023737,0.214664,0.334940,0.204462,-9.83,60.40,205.38
2026-07-14 10:50:54,14174,14174,10.148596,11.046059,9.443226,0.173652,0.256288,0.214171,-1.58,59.23,239.32
2026-07-14 10:51:33,15930,15930,8.046225,10.578276,7.385842,0.081960,0.209596,0.188201,-0.52,57.35,277.78
2026-07-14 10:52:09,17688,17688,8.835760,9.483405,8.171891,0.060096,0.193383,0.253731,-4.70,56.27,314.32
2026-07-14 10:52:58,19449,19449,8.378233,6.721055,7.716514,0.060894,0.213066,0.291125,-6.16,53.63,362.68
2026-07-14 10:53:43,21203,21203,9.047636,8.042839,8.362339,0.060097,0.236537,0.212640,-11.11,51.98,407.87
2026-07-14 10:54:28,22968,22968,9.042687,9.133126,8.361732,0.055880,0.193310,0.260010,-15.29,50.71,452.94
2026-07-14 10:55:17,24743,24743,8.082629,8.079476,7.441943,0.054039,0.212258,0.211606,-17.42,49.28,502.09
2026-07-14 10:56:21,26536,26536,7.121942,9.274112,6.495772,0.069775,0.280341,0.198809,-13.64,46.91,565.72
2026-07-14 10:57:31,28279,28279,7.138733,6.996795,6.506715,0.047249,0.180020,0.287849,-15.11,44.44,636.38
2026-07-14 10:58:42,30036,30036,7.103602,7.592965,6.472074,0.056051,0.165733,0.304758,-15.90,42.50,706.80
2026-07-14 10:59:43,31807,31807,6.908298,6.411854,6.308067,0.053623,0.162512,0.304473,-18.25,41.40,768.32
2026-07-14 11:00:56,33575,33575,6.837878,7.652058,6.207406,0.068234,0.184861,0.264133,-18.00,39.91,841.24
2026-07-14 11:02:06,35348,35348,9.071184,6.777787,8.435411,0.052982,0.204821,0.315482,-18.51,38.81,910.77
2026-07-14 11:03:19,37113,37113,6.857586,8.790885,6.211601,0.047609,0.186547,0.395211,-21.39,37.72,983.81
2026-07-14 11:04:29,38863,38863,6.202750,5.786156,5.564212,0.064152,0.204015,0.263800,-21.66,36.87,1053.96
2026-07-14 11:05:41,40602,40602,7.980385,7.455945,7.394887,0.049122,0.187300,0.300899,-21.90,36.05,1126.20
2026-07-14 11:06:52,42354,42354,6.992822,5.753645,6.395132,0.051965,0.214909,0.295107,-20.85,35.38,1196.95
2026-07-14 11:08:02,44140,44140,5.950645,7.843634,5.385189,0.059536,0.183675,0.268316,-20.22,34.83,1267.42
2026-07-14 11:09:14,45921,45921,6.866710,9.487726,6.213406,0.055940,0.275564,0.213023,-19.54,34.28,1339.43
2026-07-14 11:10:08,47669,47669,5.471407,5.999058,4.872909,0.063706,0.215796,0.212299,-18.99,34.23,1392.79
2026-07-14 11:11:20,49422,49422,7.750834,9.192372,7.152528,0.057318,0.177216,0.249361,-17.13,33.73,1465.20
2026-07-14 11:12:23,51174,51174,5.921884,7.150122,5.329260,0.042284,0.181919,0.289233,-16.71,33.48,1528.58
2026-07-14 11:13:35,52952,52952,8.059472,8.882623,7.423730,0.049275,0.238262,0.282812,-17.18,33.09,1600.21
2026-07-14 11:14:38,54729,54729,6.880091,8.849755,6.308750,0.040770,0.265391,0.225729,-16.69,32.91,1662.92
2026-07-14 11:15:50,56499,56499,6.911481,8.811885,6.245754,0.054859,0.221691,0.314137,-16.52,32.56,1735.35
2026-07-14 11:17:05,58275,58275,7.687335,7.317249,7.097894,0.039782,0.239060,0.330621,-17.33,32.19,1810.43
2026-07-14 11:18:07,60021,60021,6.610829,7.554810,6.019279,0.051093,0.259276,0.397758,-16.25,32.06,1872.37
2026-07-14 11:18:59,61776,61776,7.386830,8.815152,6.770655,0.060933,0.209300,0.492214,-16.32,32.10,1924.54
2026-07-14 11:20:13,63540,63540,7.867809,8.844367,7.273004,0.050079,0.255034,0.275411,-14.07,31.80,1997.93
2026-07-14 11:21:26,65314,65314,7.520376,8.912187,6.926988,0.046776,0.236232,0.256810,-13.46,31.53,2071.19
2026-07-14 11:22:30,67098,67098,8.469375,7.838415,7.852247,0.044667,0.240609,0.282152,-14.00,31.43,2134.71
2026-07-14 11:23:42,68842,68842,6.928324,8.681267,6.314849,0.038235,0.244849,0.312424,-13.56,31.19,2207.27
2026-07-14 11:24:51,70589,70589,6.823304,6.114834,6.209974,0.063652,0.239820,0.321551,-13.07,31.02,2275.88
2026-07-14 11:25:48,72350,72350,6.089081,6.962217,5.531239,0.047263,0.236131,0.287109,-12.88,31.01,2333.40
