timestamp,hands_done,training_samples,train_loss,val_loss,train_loss_q,train_loss_bluff,train_loss_str,train_loss_eq,hero_bb100,hands_per_sec,elapsed_sec
2026-07-15 14:35:34,1835,1835,4.971423,5.344389,3.714403,0.154241,0.043767,0.048386,8.53,48.73,37.65
2026-07-15 14:36:11,3643,3643,4.842271,5.201333,3.789426,0.075187,0.054879,0.253958,6.79,49.12,74.16
2026-07-15 14:36:47,5479,5479,5.292470,4.189527,4.243128,0.060203,0.075725,0.219852,14.44,49.73,110.18
2026-07-15 14:37:23,7305,7305,5.088118,4.687775,4.028513,0.057048,0.092084,0.233293,14.30,50.08,145.88
2026-07-15 14:37:58,9136,9136,4.340218,5.010402,3.313205,0.080672,0.047093,0.202683,12.92,50.31,181.58
2026-07-15 14:38:34,10955,10955,5.244585,5.477735,4.221331,0.041000,0.058987,0.188989,11.72,50.55,216.73
2026-07-15 14:39:13,12781,12781,5.164990,4.534511,4.135962,0.056521,0.057158,0.168508,11.15,49.89,256.17
2026-07-15 14:39:56,14610,14610,5.698895,5.539636,4.650805,0.046557,0.043287,0.095634,9.64,48.84,299.11
2026-07-15 14:40:48,16434,16434,4.865291,6.046935,3.826565,0.061120,0.051359,0.108664,8.92,46.79,351.22
2026-07-15 14:41:49,18266,18266,5.598285,5.672709,4.525986,0.044210,0.115285,0.110683,11.70,44.36,411.77
2026-07-15 14:42:50,20096,20096,4.910342,6.088065,3.827491,0.050428,0.072097,0.180089,10.12,42.49,473.01
2026-07-15 14:43:52,21933,21933,5.958523,6.023705,4.808509,0.072864,0.081112,0.108350,11.09,40.95,535.60
2026-07-15 14:45:03,23734,23734,5.758225,6.735581,4.679338,0.040640,0.086015,0.105054,11.46,39.12,606.70
2026-07-15 14:46:27,25557,25557,6.436213,7.369658,5.329114,0.051099,0.074452,0.163308,13.39,37.02,690.37
2026-07-15 14:47:43,27387,27387,6.355672,6.854957,5.258867,0.046464,0.089806,0.127004,14.28,35.74,766.31
2026-07-15 14:49:21,29224,29224,8.132616,7.417222,6.967836,0.053659,0.103296,0.119926,11.62,33.80,864.70
2026-07-15 14:50:52,31078,31078,6.003614,8.152511,4.954471,0.036864,0.074906,0.119710,11.70,32.52,955.63
2026-07-15 14:52:31,32928,32928,7.110961,6.234196,5.992648,0.056808,0.070359,0.139582,11.92,31.24,1053.88
2026-07-15 14:54:11,34760,34760,8.058067,6.969810,6.947884,0.042866,0.066549,0.112480,10.48,30.12,1154.22
2026-07-15 14:55:51,36603,36603,7.212520,8.280148,6.086998,0.034024,0.083344,0.080474,9.85,29.19,1253.87
2026-07-15 14:57:27,38421,38421,5.903684,7.627346,4.854941,0.038770,0.057851,0.122482,9.53,28.46,1350.04
2026-07-15 14:59:07,40268,40268,7.137988,7.405871,6.050448,0.050790,0.067184,0.077447,10.81,27.77,1449.79
2026-07-15 15:00:46,42128,42128,7.297095,8.307092,6.231517,0.029710,0.066868,0.118846,11.36,27.20,1548.86
2026-07-15 15:02:26,43991,43991,8.377444,9.423558,7.295879,0.031147,0.062178,0.181718,11.68,26.67,1649.19
2026-07-15 15:04:07,45836,45836,6.841463,8.303024,5.805575,0.053231,0.052152,0.159903,11.58,26.19,1750.33
2026-07-15 15:05:45,47664,47664,7.023680,6.568627,5.965758,0.063924,0.047304,0.147750,11.45,25.79,1847.99
2026-07-15 15:07:24,49494,49494,7.396515,6.468201,6.355551,0.038832,0.046482,0.170948,12.05,25.42,1946.76
2026-07-15 15:09:04,51361,51361,7.119141,10.614517,6.046697,0.041470,0.044898,0.163998,12.77,25.09,2047.29
2026-07-15 15:10:27,53196,53196,7.376585,6.743325,6.191458,0.034044,0.044339,0.170697,13.38,24.97,2130.59
2026-07-15 15:11:51,55046,55046,7.953409,8.301163,6.775791,0.039509,0.050525,0.151901,13.56,24.86,2214.08
2026-07-15 15:13:13,56888,56888,8.334484,7.991824,7.147610,0.045108,0.045804,0.186539,13.48,24.77,2296.24
2026-07-15 15:14:19,58703,58703,8.268543,7.984946,7.111407,0.045099,0.046960,0.165856,14.21,24.85,2362.71
2026-07-15 15:15:38,60523,60523,7.732721,7.206672,6.552846,0.057679,0.052134,0.130139,14.27,24.80,2440.87
2026-07-15 15:16:54,62326,62326,7.615936,8.808774,6.462641,0.054275,0.055286,0.173804,14.53,24.76,2516.77
2026-07-15 15:18:16,64151,64151,7.843689,7.712570,6.688559,0.039377,0.060761,0.203251,14.23,24.68,2599.44
2026-07-15 15:19:38,65974,65974,8.417673,7.106979,7.254186,0.073518,0.059987,0.134554,14.60,24.61,2681.14
2026-07-15 15:20:55,67779,67779,7.427710,7.745478,6.302721,0.042866,0.056078,0.186636,15.78,24.57,2758.44
2026-07-15 15:22:02,69617,69617,7.098755,8.422477,5.970816,0.046427,0.062118,0.137746,15.95,24.64,2825.69
2026-07-15 15:23:17,71456,71456,6.827890,8.817245,5.706440,0.055716,0.054390,0.147149,16.78,24.63,2900.59
2026-07-15 15:24:34,73303,73303,6.941579,7.554192,5.809095,0.044644,0.049321,0.150494,17.68,24.62,2976.81
2026-07-15 15:25:52,75145,75145,7.676482,8.634910,6.564134,0.055813,0.053984,0.156535,18.41,24.59,3055.64
2026-07-15 15:27:13,76971,76971,7.195702,7.419775,6.097091,0.042693,0.056187,0.128781,17.15,24.55,3135.79
2026-07-15 15:28:26,78821,78821,7.596247,8.530320,6.472059,0.048433,0.054575,0.184166,16.79,24.56,3209.33
2026-07-15 15:29:39,80677,80677,6.764375,9.090286,5.646604,0.049239,0.062739,0.150497,15.91,24.58,3282.36
2026-07-15 15:30:58,82501,82501,7.286413,7.683890,6.193744,0.050508,0.059528,0.146218,15.89,24.54,3361.37
2026-07-15 15:32:20,84311,84311,7.873627,7.629560,6.768375,0.046428,0.062597,0.154845,16.14,24.49,3442.72
2026-07-15 15:33:34,86140,86140,7.420286,8.340113,6.318279,0.038666,0.052476,0.128487,15.69,24.49,3517.39
2026-07-15 15:34:53,87979,87979,7.864757,7.970155,6.759073,0.043861,0.051577,0.118194,15.52,24.47,3595.84
2026-07-15 15:36:09,89807,89807,7.921765,7.256778,6.791200,0.050578,0.054501,0.151621,15.05,24.45,3672.39
2026-07-15 15:37:25,91649,91649,7.376923,7.328983,6.289686,0.041245,0.061620,0.153153,16.35,24.45,3748.14
2026-07-15 15:38:35,93476,93476,7.529159,9.242478,6.418131,0.051672,0.059697,0.126753,16.63,24.48,3818.55
2026-07-15 15:39:54,95315,95315,7.244384,7.868778,6.149961,0.045381,0.062863,0.163444,16.61,24.46,3897.21
2026-07-15 15:40:56,97161,97161,6.465934,7.666719,5.374487,0.041657,0.059623,0.155104,17.01,24.54,3959.22
2026-07-15 15:42:12,98979,98979,7.253949,7.074603,6.169933,0.037948,0.060786,0.156039,17.11,24.53,4034.90
2026-07-15 15:42:44,99910,99910,7.094020,8.858470,5.999388,0.049980,0.064056,0.161489,17.35,24.57,4066.84
2026-07-15 15:42:47,99988,99988,5.400949,10.342569,4.504317,0.026381,0.044635,0.127031,17.42,24.57,4070.15
