timestamp,hands_done,training_samples,train_loss,val_loss,train_loss_q,train_loss_bluff,train_loss_str,train_loss_eq,hero_bb100,hands_per_sec,elapsed_sec
2026-07-16 21:16:58,1931,1931,6.471103,6.869317,4.768291,0.277209,0.333385,0.132170,-5.70,41.99,45.98
2026-07-16 21:17:45,3847,3847,6.715529,6.105761,5.068325,0.327654,0.336386,0.231302,1.77,41.66,92.35
2026-07-16 21:18:25,5760,5760,6.038868,5.386487,4.455350,0.370597,0.286023,0.204122,2.15,43.33,132.94
2026-07-16 21:19:14,7692,7692,6.271798,6.103959,4.689588,0.388698,0.332512,0.216883,11.03,42.36,181.58
2026-07-16 21:20:02,9615,9615,6.380950,5.906348,4.815817,0.301599,0.346252,0.246818,8.91,41.83,229.87
2026-07-16 21:20:52,11536,11536,5.720071,5.546311,4.133514,0.292485,0.341525,0.222915,6.85,41.27,279.55
2026-07-16 21:21:45,13470,13470,6.081528,5.587932,4.519876,0.300798,0.336141,0.221530,8.37,40.46,332.95
2026-07-16 21:22:44,15405,15405,5.413081,5.516605,3.856042,0.310165,0.337579,0.231195,8.99,39.34,391.56
2026-07-16 21:23:49,17330,17330,6.085798,6.600347,4.542690,0.297934,0.343474,0.224708,8.45,37.97,456.45
2026-07-16 21:25:20,19266,19266,6.039407,6.805512,4.503975,0.366691,0.339896,0.220172,9.70,35.21,547.21
2026-07-16 21:26:42,21214,21214,6.146994,6.505218,4.622748,0.352084,0.334848,0.277349,8.04,33.69,629.76
2026-07-16 21:28:21,23144,23144,6.197564,5.876162,4.674484,0.299270,0.324501,0.258231,7.90,31.79,728.13
2026-07-16 21:29:57,25089,25089,6.898985,7.046721,5.379540,0.290713,0.328603,0.277218,11.36,30.43,824.45
2026-07-16 21:31:38,27038,27038,6.737380,7.325246,5.259903,0.249770,0.336056,0.208704,12.85,29.21,925.71
2026-07-16 21:33:29,28992,28992,6.794305,6.281979,5.321355,0.318913,0.349958,0.207142,11.40,27.96,1036.98
2026-07-16 21:35:36,30956,30956,6.355070,6.041489,5.649055,0.299142,0.315299,0.172203,10.71,26.60,1163.71
2026-07-16 21:37:09,32859,32859,4.474970,5.015044,3.749283,0.305146,0.317624,0.326206,10.38,26.15,1256.32
2026-07-16 21:38:45,34781,34781,4.525517,4.584570,3.856536,0.240114,0.269495,0.281221,9.76,25.72,1352.34
2026-07-16 21:40:21,36695,36695,4.220994,3.341987,3.536833,0.337031,0.263192,0.268734,11.79,25.34,1448.14
2026-07-16 21:41:50,38599,38599,4.360118,4.488152,3.691260,0.263761,0.223507,0.274023,13.19,25.10,1537.59
2026-07-16 21:43:22,40506,40506,4.461534,4.004776,3.816530,0.328349,0.262238,0.228805,12.07,24.86,1629.54
2026-07-16 21:44:42,42428,42428,4.272660,4.223759,3.644870,0.303621,0.290684,0.252883,15.87,24.81,1709.81
2026-07-16 21:46:14,44340,44340,4.297093,4.576916,3.659624,0.377292,0.269554,0.255189,17.04,24.62,1801.34
2026-07-16 21:47:50,46267,46267,4.353748,4.758568,3.757933,0.372337,0.258643,0.275278,18.42,24.38,1897.69
2026-07-16 21:49:27,48186,48186,4.270715,4.940332,3.646181,0.336671,0.250747,0.260338,17.96,24.16,1994.29
2026-07-16 21:51:05,50092,50092,4.626106,4.644861,4.018492,0.308022,0.277900,0.262762,17.92,23.93,2093.07
2026-07-16 21:52:38,51961,51961,3.898817,3.974986,3.255034,0.323095,0.230135,0.236264,19.64,23.77,2185.67
2026-07-16 21:54:10,53829,53829,3.676364,4.002170,2.977568,0.320102,0.238823,0.323422,21.38,23.63,2277.76
2026-07-16 21:55:39,55669,55669,4.244289,4.859696,3.552736,0.256225,0.243046,0.339083,22.92,23.53,2366.13
2026-07-16 21:57:07,57557,57557,4.581130,4.174501,3.869767,0.259518,0.230833,0.373345,22.38,23.45,2454.73
2026-07-16 21:58:31,59395,59395,4.535767,4.591957,3.812501,0.346399,0.269378,0.337506,22.84,23.40,2538.61
2026-07-16 21:59:53,61257,61257,4.043632,4.323357,3.375334,0.292846,0.218548,0.378012,22.69,23.37,2620.90
2026-07-16 22:01:31,63126,63126,4.561397,4.855338,3.877510,0.253394,0.257629,0.376455,23.81,23.22,2718.87
2026-07-16 22:03:09,65007,65007,4.703941,4.030179,3.993508,0.322228,0.270201,0.321353,24.55,23.08,2816.69
2026-07-16 22:04:45,66859,66859,4.221224,4.358848,3.519853,0.266020,0.239507,0.375475,25.41,22.96,2912.60
2026-07-16 22:06:21,68735,68735,4.614996,3.863978,3.887827,0.293924,0.248437,0.315764,26.84,22.84,3008.77
2026-07-16 22:07:38,70588,70588,3.963912,3.482470,3.294654,0.282620,0.256848,0.281898,28.13,22.88,3085.48
2026-07-16 22:09:11,72460,72460,4.531475,4.561968,3.813105,0.379311,0.280219,0.326276,28.13,22.80,3178.20
2026-07-16 22:10:31,74345,74345,4.370240,5.244334,3.695706,0.340407,0.266978,0.340413,28.77,22.82,3258.55
2026-07-16 22:10:54,74951,74951,4.877745,4.009420,4.141826,0.309296,0.287261,0.346432,29.59,22.84,3281.40
2026-07-16 22:10:56,74997,74997,3.664758,0.437339,3.107267,0.306010,0.216684,0.301079,29.64,22.84,3283.59
2026-07-16 22:10:57,75005,75005,5.401770,0.819128,4.383025,0.365111,0.316542,0.489550,29.63,22.84,3284.30
