timestamp,hands_done,training_samples,train_loss,val_loss,train_loss_q,train_loss_bluff,train_loss_str,train_loss_eq,hero_bb100,hands_per_sec,elapsed_sec
2026-07-17 12:53:11,1949,1949,7.444337,6.624724,5.716566,0.026501,0.029312,0.028834,15.07,30.30,64.33
2026-07-17 12:54:08,3898,3898,6.363341,5.824711,4.683403,0.023280,0.028376,0.029154,10.75,32.13,121.32
2026-07-17 12:55:06,5838,5838,6.825140,6.571742,5.233288,0.022403,0.025542,0.022192,6.88,32.48,179.76
2026-07-17 12:56:21,7784,7784,6.288513,5.963368,4.726385,0.024782,0.026329,0.018387,6.86,30.64,254.08
2026-07-17 12:57:51,9731,9731,6.338769,6.812916,4.750194,0.025677,0.022765,0.011612,6.56,28.25,344.50
2026-07-17 12:59:25,11685,11685,6.389104,6.332726,4.795080,0.024440,0.023321,0.011329,6.12,26.67,438.09
2026-07-17 13:01:02,13645,13645,6.820974,6.265292,5.242996,0.023962,0.023688,0.008762,2.54,25.48,535.57
2026-07-17 13:02:50,15587,15587,6.251729,5.776756,4.712031,0.019084,0.020494,0.008264,3.89,24.24,643.00
2026-07-17 13:04:54,17527,17527,6.976424,7.417348,5.407154,0.017544,0.019449,0.006814,2.29,22.84,767.50
2026-07-17 13:07:04,19489,19489,7.691534,7.478406,6.128923,0.020109,0.018887,0.007971,0.70,21.71,897.60
2026-07-17 13:09:21,21436,21436,6.830599,6.744508,6.095203,0.017759,0.017892,0.007381,2.13,20.73,1033.98
2026-07-17 13:11:05,23367,23367,3.895132,3.928674,3.196721,0.012099,0.015701,0.006856,5.76,20.53,1137.92
2026-07-17 13:12:54,25296,25296,3.963417,4.116566,3.255483,0.015531,0.019646,0.008568,8.38,20.28,1247.24
2026-07-17 13:14:41,27236,27236,3.764418,4.431219,3.079366,0.013496,0.014850,0.005959,11.19,20.11,1354.05
2026-07-17 13:16:29,29176,29176,4.245071,4.201237,3.551195,0.015820,0.016695,0.004904,14.55,19.95,1462.10
2026-07-17 13:18:20,31114,31114,4.551106,4.652447,3.853430,0.014288,0.017411,0.005737,16.52,19.78,1573.26
2026-07-17 13:20:12,33059,33059,4.967289,4.864636,4.251301,0.014630,0.016656,0.006291,18.80,19.62,1685.23
2026-07-17 13:22:03,35007,35007,4.531224,4.311851,3.842517,0.011815,0.017079,0.005585,22.28,19.49,1796.29
2026-07-17 13:23:54,36946,36946,5.284529,5.162236,4.566443,0.013507,0.016236,0.004722,23.91,19.37,1907.77
2026-07-17 13:25:47,38882,38882,5.119278,5.748996,4.408725,0.013785,0.016735,0.005457,24.57,19.24,2020.53
2026-07-17 13:27:38,40829,40829,4.650321,4.608080,3.993394,0.011503,0.017930,0.004607,24.93,19.16,2131.00
2026-07-17 13:29:04,42688,42688,4.791632,5.279451,3.947877,0.010563,0.017857,0.005350,26.97,19.26,2216.84
2026-07-17 13:30:29,44526,44526,5.340539,5.452847,4.454442,0.013759,0.018252,0.005788,29.15,19.34,2302.33
2026-07-17 13:31:51,46375,46375,5.081402,5.158667,4.220300,0.005136,0.017081,0.004531,29.06,19.45,2384.82
2026-07-17 13:33:23,48257,48257,5.916539,6.469095,5.029406,0.013631,0.018099,0.004799,30.09,19.49,2476.11
2026-07-17 13:34:55,50120,50120,5.280449,6.112679,4.451491,0.010490,0.018413,0.004468,30.09,19.51,2568.44
2026-07-17 13:36:17,51975,51975,4.743030,4.541122,3.919639,0.011912,0.018690,0.004446,31.49,19.61,2650.62
2026-07-17 13:37:38,53834,53834,4.840287,5.089305,4.034358,0.011724,0.019273,0.004355,34.04,19.71,2731.32
2026-07-17 13:39:03,55682,55682,5.300967,5.196948,4.431458,0.012186,0.018613,0.004915,35.34,19.77,2816.19
2026-07-17 13:40:28,57529,57529,4.627109,3.921890,3.820063,0.009090,0.017805,0.003670,35.75,19.83,2900.97
2026-07-17 13:41:52,59368,59368,4.688567,4.485119,3.830390,0.008902,0.017292,0.003405,37.22,19.89,2985.27
2026-07-17 13:43:13,61215,61215,5.365290,5.597215,4.508803,0.008292,0.016569,0.004304,37.98,19.97,3066.02
2026-07-17 13:44:36,63072,63072,5.084737,5.272694,4.280822,0.011307,0.017902,0.004258,37.38,20.02,3149.82
2026-07-17 13:46:01,64945,64945,5.039007,4.539932,4.174876,0.009364,0.018989,0.004264,37.93,20.08,3233.83
2026-07-17 13:47:22,66818,66818,4.649981,3.794425,3.859018,0.006575,0.015541,0.003406,37.95,20.16,3315.02
2026-07-17 13:48:43,68657,68657,4.609390,4.838819,3.814084,0.011914,0.017450,0.003006,38.06,20.22,3396.33
2026-07-17 13:50:06,70524,70524,4.626846,5.126007,3.817776,0.010637,0.017117,0.003877,38.71,20.27,3478.87
2026-07-17 13:51:26,72372,72372,4.634730,4.543788,3.809136,0.011772,0.018202,0.003697,39.42,20.33,3559.10
2026-07-17 13:52:48,74228,74228,4.878240,5.105216,4.057723,0.013624,0.017497,0.003769,40.29,20.39,3640.96
2026-07-17 13:54:08,76078,76078,4.610280,4.319915,3.823169,0.008147,0.015739,0.003173,39.65,20.44,3721.12
2026-07-17 13:55:34,77950,77950,5.307062,5.358186,4.395716,0.006250,0.016785,0.004074,41.67,20.48,3807.06
2026-07-17 13:56:54,79792,79792,4.649386,4.883017,3.844749,0.010230,0.015923,0.003941,42.55,20.53,3887.38
2026-07-17 13:58:19,81655,81655,4.711655,4.598904,3.871105,0.009215,0.015453,0.003230,43.18,20.55,3972.74
2026-07-17 13:59:39,83492,83492,4.725946,4.885025,3.934104,0.011664,0.018527,0.003844,42.38,20.60,4052.79
2026-07-17 14:00:59,85341,85341,5.637006,6.080555,4.820220,0.005503,0.018044,0.003653,41.70,20.65,4132.02
2026-07-17 14:02:24,87183,87183,4.343447,4.473815,3.551062,0.013385,0.018539,0.003784,41.83,20.67,4217.78
2026-07-17 14:03:43,89022,89022,4.872263,4.426931,4.056241,0.006397,0.014624,0.002999,41.93,20.72,4296.43
2026-07-17 14:05:10,90884,90884,4.929601,3.316720,4.140287,0.006339,0.017970,0.003709,42.11,20.73,4383.22
2026-07-17 14:06:27,92721,92721,4.419850,3.686209,3.638122,0.009732,0.014697,0.003301,42.41,20.79,4460.14
2026-07-17 14:07:46,94526,94526,4.163751,4.714842,3.412247,0.009250,0.015983,0.002798,42.51,20.82,4539.55
2026-07-17 14:09:09,96381,96381,5.073634,4.448255,4.195345,0.008867,0.016108,0.002896,43.35,20.85,4622.64
2026-07-17 14:10:30,98238,98238,4.829193,4.679611,4.062616,0.011360,0.015942,0.003193,43.33,20.88,4703.79
2026-07-17 14:11:41,99859,99859,4.488792,5.073234,3.708016,0.007004,0.015011,0.003026,43.53,20.91,4774.81
2026-07-17 14:11:47,99984,99984,5.047733,3.778134,4.241636,0.007012,0.015239,0.002139,43.55,20.92,4780.37
2026-07-17 14:11:48,99999,99999,3.382598,3.087986,2.454897,0.000449,0.017056,0.002262,43.53,20.91,4781.33
2026-07-17 14:11:49,100007,100007,0.540254,3.923512,0.338897,0.000752,0.010925,0.001798,43.52,20.91,4781.95
2026-07-17 14:21:25,101854,1854,4.057419,3.773910,3.242549,0.225916,0.017312,0.003868,37.45,22.33,83.04
2026-07-17 14:22:56,103728,3728,4.965938,5.362354,4.122867,0.204621,0.018612,0.003632,58.68,21.45,173.77
2026-07-17 14:24:21,105580,5580,4.640387,4.799026,3.874590,0.189457,0.018370,0.003927,58.70,21.61,258.24
2026-07-17 14:25:42,107416,7416,5.164671,4.908009,4.297375,0.196964,0.018397,0.003861,49.52,21.81,340.04
2026-07-17 14:27:07,109260,9260,4.438193,4.446456,3.593227,0.182358,0.017535,0.004177,50.90,21.80,424.80
2026-07-17 14:28:41,111102,11102,5.319434,4.505644,4.481689,0.178865,0.016244,0.003806,56.54,21.42,518.32
2026-07-17 14:30:09,112960,12960,4.985269,4.767918,4.193747,0.169156,0.018363,0.004011,54.96,21.35,607.00
2026-07-17 14:31:38,114814,14814,4.437072,4.326554,3.576078,0.168250,0.017757,0.003978,56.66,21.30,695.34
2026-07-17 14:33:03,116670,16670,5.499799,5.125507,4.595091,0.193853,0.016679,0.003811,58.62,21.37,780.16
2026-07-17 14:34:27,118539,18539,4.515677,4.966238,3.694116,0.141442,0.017398,0.003379,59.77,21.45,864.22
