timestamp,hands_done,training_samples,train_loss,val_loss,train_loss_q,train_loss_bluff,train_loss_str,train_loss_eq,hero_bb100,hands_per_sec,elapsed_sec
2026-07-18 11:38:24,1941,1941,15.049148,15.395292,13.259969,0.109414,0.023792,0.030411,-270.84,14.58,133.17
2026-07-18 11:40:32,3885,3885,15.338064,15.359157,13.557183,0.109721,0.028527,0.026607,-290.77,14.89,261.00
2026-07-18 11:42:43,5818,5818,15.113271,15.471493,13.369298,0.103375,0.024577,0.026216,-266.62,14.85,391.85
2026-07-18 11:45:31,7781,7781,16.219854,16.481472,14.540827,0.108332,0.020653,0.015388,-259.97,13.89,560.33
2026-07-18 11:48:07,9747,9747,15.812149,16.073874,14.172830,0.099845,0.020080,0.010199,-217.15,13.61,716.18
2026-07-18 11:50:54,11717,11717,15.654926,15.652806,14.030373,0.104609,0.020649,0.010170,-175.53,13.26,883.58
2026-07-18 11:53:35,13676,13676,15.708800,15.379360,14.079336,0.096686,0.019005,0.010219,-155.55,13.10,1043.69
2026-07-18 11:56:23,15635,15635,15.245998,16.052215,13.621245,0.101528,0.017575,0.009232,-142.68,12.90,1212.40
2026-07-18 11:59:07,17604,17604,14.632285,14.622673,13.007181,0.095091,0.017682,0.008148,-136.49,12.79,1376.34
2026-07-18 12:01:55,19564,19564,14.875049,14.492566,13.278389,0.096858,0.017346,0.009729,-124.71,12.67,1544.13
2026-07-18 12:04:26,21531,21531,13.416037,13.930067,12.553820,0.083757,0.018208,0.009593,-117.68,12.70,1695.24
2026-07-18 12:06:23,23446,23446,10.455008,7.816767,8.386213,0.089226,0.019623,0.008029,-108.09,12.94,1812.16
2026-07-18 12:08:39,25373,25373,11.417664,11.573446,10.383264,0.100007,0.024030,0.011088,-97.32,13.02,1948.65
2026-07-18 12:10:38,27297,27297,9.990303,9.967490,8.931585,0.079886,0.018949,0.008250,-84.52,13.21,2066.99
2026-07-18 12:12:42,29227,29227,10.469615,11.735685,9.601864,0.073745,0.020971,0.009114,-78.72,13.34,2191.52
2026-07-18 12:14:31,31149,31149,8.666116,6.920803,7.713897,0.090124,0.020355,0.008144,-72.39,13.54,2300.29
2026-07-18 12:16:32,33063,33063,9.766903,9.585093,8.984960,0.076941,0.020682,0.009090,-63.85,13.65,2421.55
2026-07-18 12:18:29,34991,34991,10.179540,9.627363,9.402989,0.078589,0.018075,0.010912,-55.95,13.79,2538.27
2026-07-18 12:19:58,36912,36912,5.327420,3.659503,4.549543,0.081073,0.016649,0.007648,-52.87,14.05,2627.31
2026-07-18 12:21:52,38833,38833,7.901311,8.188609,6.947492,0.067084,0.019491,0.007658,-50.38,14.17,2740.92
2026-07-18 12:23:52,40750,40750,10.618465,10.265306,9.702607,0.093033,0.020945,0.008438,-47.34,14.24,2860.97
2026-07-18 12:25:27,42615,42615,10.173551,10.582371,9.010422,0.085315,0.018771,0.008882,-41.18,14.42,2956.04
2026-07-18 12:27:16,44476,44476,12.704978,13.296079,11.599459,0.080600,0.019396,0.008392,-39.76,14.51,3065.24
2026-07-18 12:28:41,46312,46312,10.870983,11.201800,9.696640,0.076921,0.020218,0.006490,-34.50,14.70,3150.16
2026-07-18 12:30:25,48183,48183,11.966817,11.758183,10.880206,0.086632,0.019051,0.006996,-29.68,14.81,3254.11
2026-07-18 12:31:59,49913,49913,12.045663,11.536314,10.926645,0.086722,0.020761,0.006975,-27.60,14.91,3347.99
2026-07-18 12:32:03,49990,49990,14.265443,15.453762,13.089951,0.090285,0.015791,0.008586,-27.51,14.91,3352.44
2026-07-18 12:32:04,49998,49998,13.558073,11.617975,12.354674,0.185202,0.030220,0.000928,-27.42,14.91,3353.00
2026-07-18 12:32:04,50005,50005,11.990882,17.571482,10.858941,0.011363,0.005808,0.007019,-27.41,14.91,3353.66
